furniture-10000201,Default - Bed
furniture-10003504,Hot Spring Time - Ramen Shop
furniture-20003504,A Japanese-style moving ramen stall. "I wonder what is the taste of wine shared with family; I wonder for whom did you sing for before passing away."
furniture-10003505,Hot Spring Time - Dumpling Shop
furniture-20003505,A Japanese-style moving food stall. "On the round moon in the sky a rabbit waves. Take all your happiness and sadness and knead them together!"
furniture-10003506,Hot Spring Time - Jizo Statues
furniture-20003506,Jizo statues by the roadside. "Embrace the protection of God//c share your joy and pain; calmly accept others' happiness//c for those who are happy are the most human."
furniture-10003507,Hot Spring Time - Hot Spring Wooden Fence
furniture-20003507,A wooden fence for the hot spring. "The stars shine brightly as the cries of wild ducks fill the air. I bite on a chestnut as I remember father's smile."
furniture-10003508,Hot Spring Time - Hot Spring
furniture-20003508,A traditional hot spring built by hand. "Let us stay at the hot spring hostel tonight//c to bathe our sore flesh in the pure water//c as cute dancers twirl within the banquet halls."
furniture-10003509,Hot Spring Time - Hot Spring Changing Room Bench
furniture-20003509,A long bench used in changing rooms and restrooms. "As your hair emits a strong fragrance//c you who are clad in a bathrobe are incomparably brilliant."
furniture-10003510,Hot Spring Time - Hot Spring Changing Room
furniture-20003510,A small building for changing clothes. "The starry sky//c the cloudless moonlit night//c unintentionally they trespass into this sealed building."
furniture-10003511,Hot Spring Time - Firefly Bamboo Forest
furniture-20003511,A bamboo forest dotted with fireflies in the distance. "Summer prayers//c summer prayers//c those are miraculous songs of the fireflies//c a tune of wind chimes performed by the wind."
furniture-10003512,Hot Spring Time - Carp Kite
furniture-20003512,A traditional carp kite prepared for the kids. "I'm already tired of baby-sitting//c even before the Bon Festival came. The snow began to fall//c and the baby cries. "
furniture-10003513,Hot Spring Time - Hot Spring Bamboo
furniture-20003513,An elegant bamboo forest planted by hand. "The moonlight shines down between the trees as I gently caress your cheek//c the branches swaying beneath the glistening white moon."
furniture-10003514,Hot Spring Time - Hot Spring Wooden Bathtub
furniture-20003514,A traditional wooden bathtub. "Daily we crowd around the old and worn heater//c the whole family happily spending time together."
furniture-10003701,Great Library - Classical Floor
furniture-20003701,"A scholar may not necessarily possess knowledge. True knowledge is to recognize knowledge//c to be able to ruminate on it//c to be able to work." //nWhat…… don't we study because we don't want to work… I'm tired//c time for a break…… -- M249
furniture-10003702,Great Library - Library Round Rug
furniture-20003702,"I leap onto books just like a starving person leaps onto bread."//nYes//c I know that feeling//c but mine's even stronger. I'll leap even when I'm not hungry//c just like this! Bang--! -- FFC
furniture-10003703,Great Library - Bookshelf with Stairs
furniture-20003703,"Books are the best anesthetic for the soul." -- Quote from AK47//n"Some people only absorb the toxins within books." -- Quote from Suomi
furniture-10003704,Great Library - Luxurious Bookshelf
furniture-20003704,"People who stop studying will stop thinking." -- MP446//nPeople who only read comics all day have already stopped thinking long ago. -- Mosin-Nagant
furniture-10003705,Great Library - Library Reading Stand
furniture-20003705,"All books are dreams if not blades; you can kill through words//c or you can entrance through words."//nI've gained a profound insight from this. You can avoid arguing if you just fight. -- Type97S//nM99//c get someone who isn't hopelessly stupid to read aloud next time. -- Z62
furniture-10003706,Great Library - Library Desk
furniture-20003706,"The act of learning demands from people the greatest tensions and the greatest enthusiasm."//nNo//c the S.F. do. -- KXG//nNo//c games do! -- RFP
furniture-10003707,Great Library - Classical Lamp
furniture-20003707,"Books are like a magic lamp//c illuminating the longest and dimmest road of one's life."//nThat's right! When I open an e-book on my tablet//c the backlight is great for lighting at night! -- M1873
furniture-10003708,Great Library - Classical Round Table
furniture-20003708,"Besides barbaric countries//c the entire world is ruled by books."//nHuh//c books couldn't really rule over much then//c especially nowadays. -- Negev
furniture-10003709,Great Library - Library Moving Stairs
furniture-20003709,"Books are stairs of human progress."//nNo one knows where the stairs will lead… Perhaps we shall see it soon. -- Vector
furniture-10003710,Great Library - Library Sofa Bed
furniture-20003710,"Reading is to the spirit as what exercise is to the body."//nTherefore//c both are bad for us. Only the sofa heals the body and spirit. -- F2000
furniture-10003711,Great Library - Library Chair - Right
furniture-20003711,"Knowledge is power." -- FMS//n"Power is justice!" -- Bren Ten//n"The winner is justice!" -- SVD//n"Cuteness is justice!" -- MkG28//n"The three of you//c get out." -- P99
furniture-10003712,Great Library - Library Chair - Left
furniture-20003712,"Knowledge is power." -- FMS//n"Power is justice!" -- Bren Ten//n"The winner is justice!" -- SVD//n"Cuteness is justice!" -- MkG28//n"The three of you//c get out." -- P99
furniture-10003713,Great Library - Bookshelf Wall
furniture-20003713,"Books are tools to build up our souls."//nDo we even need to read books since we don't have souls? -- Type64//nIf you need it then read it. -- Type56-1
furniture-10003714,Great Library - Library Fireplace
furniture-20003714,"Education! Science! To study is to light the torch! We're launching every syllable of every word to Mars!"//nLaunch to Mars? Are we asking for help from the Martians? Can we ask them to bring food? -- OTs44//nThe Martians will probably make the situation worse if you've watched movies before... -- OTs14
furniture-10003715,Great Library - Classical Chandelier
furniture-20003715,"Books are lamps containing mankind's accumulated wisdom."//nHah//c based on the statistics of war from the past hundred-odd years//c it's obvious that this is referring to the wisdom of self-destruction. -- Ingram
furniture-10003716,Great Library - Classical Governor Portrait
furniture-20003716,"Books are the president of human knowledge."//nSupposedly this is a quote by Shakespeare//c but presidents didn't exist during his time… If humans are always correct//c then perhaps this is proof that books can send you across time and space. -- Sten
furniture-10003801,Late Night Kitchen - Cooking Floorboard
furniture-20003801,Lee-Enfield: Please do not roller skate in the kitchen//c especially while I'm making butter… Shut up and stand still! IDW//c please clean up this battlefield after I'm done.
furniture-10003802,Late Night Kitchen - Late Night Kitchen Rug
furniture-20003802,Gr G36: Here are the ingredients for making grilled sausages. Do you think we're missing anything?//nGr G36C: How about we add some spices? Like…parsley? //nGr G36: Okay♪ Come and help me.
furniture-10003803,Late Night Kitchen - Giant Roast Turkey
furniture-20003803,M1873: Hahahaha! I watched that episode of Mr. Nut! So this is how you guys eat turkey!//nBren: Yeah//c unlike you guys who eat this every year to celebrate surviving treason.
furniture-10003804,Late Night Kitchen - Cooking Stove
furniture-20003804,AR70: How's the heat?//nSAT8: Al dente!//nAR70: Uh…what?//nSAT8: Oh//c tradition is the essence of my country's dishes//c and even the terminology is saved in my neural cloud.//nM38: That's…just a common saying…
furniture-10003805,Late Night Kitchen - Cooking Sink
furniture-20003805,Type81R: T91//c I didn't expect you to finish washing dishes this quickly.//nT91: I've worked at a tea shop before. You're also pretty quick yourself.//nType81R: Ugh… I've worked on a train before… The "peanuts//c beer//c and sausages here! Coming through//c comrade!" type of work...
furniture-10003806,Late Night Kitchen - Cooking Counter
furniture-20003806,FMS: AAT//c remember next time that this type of bread doesn't need to be scored. You don't need to make any cuts on it.//nAAT52: Scored? You mean the cuts aren't made for fun?
furniture-10003807,Late Night Kitchen - Cooking Room Refrigerator
furniture-20003807,Welrod: I'm never opening it in the middle of the night ever again! Bren's sardine pie kept staring at me//c and those lampreys that Ribeyrolles added to the pie...they're still alive!
furniture-10003808,Late Night Kitchen - Washing Machine
furniture-20003808,P7: Ciao//c Miss Cutey! Come and order some red wine and bread! It'll make you plump and juicy!//nSPAS12: Is that so? I think cola and burgers are good enough for me.//nARX160: (Sigh) Really? I'll have a taste...//nP7: Please finish it in one bite//c since...it's really troublesome to clean up. (Quietly)
furniture-10003809,Late Night Kitchen - High Stool - Left
furniture-20003809,M500: Hey//c shorty//c you're not gonna help?//nS-Shorty: No//c my hands can't reach the table...//nM500: We have a stool right here!//nS-Shorty: It's too tall as well... (Sobs)
furniture-10003810,Late Night Kitchen - High Stool - Right
furniture-20003810,M500: Hey//c shorty//c you're not gonna help?//nS-Shorty: No//c my hands can't reach the table...//nM500: We have a stool right here!//nS-Shorty: It's too tall as well... (Sobs)
furniture-10003811,Late Night Kitchen - Cooking Room Shelves
furniture-20003811,m45: Eh? Ak5//c have you seen the bread that I've just finished baking?//nAk5: I think P7 took it just now along with a can of canned fish… Eh? Why are you laughing? Big sis?
furniture-10003812,Late Night Kitchen - Cooking Utensil Hanging Rack
furniture-20003812,Type79: Please watch//c Miss Cooking Supervisor//c we just need to add a little salt//c then we can proceed to the next step!//nMP40: Little… So how much is that?//nType79: However much you like?//nMP40: (Writes on notebook) Type79's language and mathematics module needs to be checked.
furniture-10003813,Late Night Kitchen - Cooking Room Window
furniture-20003813,PSM: ...What a beautiful night.//nT33: Even if there was canned salmon in the bread you ate?//nPSM: I thought it was really tasty though. Why did everyone say it was bad?//nT33: Uhh…this must be because…everyone wanted to surprise you?
furniture-10041010,Operating Table Rank 0
furniture-20041010,
furniture-10041011,Operating Table Rank 1
furniture-20041011,
furniture-10041012,Operating Table Rank 2
furniture-20041012,
furniture-10041013,Operating Table Rank 3
furniture-20041013,
furniture-10041020,Cat Tree Rank 0
furniture-20041020,
furniture-10041021,Cat Tree Rank 1
furniture-20041021,
furniture-10041022,Cat Tree Rank 2
furniture-20041022,
furniture-10041023,Cat Tree Rank 3
furniture-20041023,
furniture-10041030,Doghouse Rank 0
furniture-20041030,
furniture-10041031,Doghouse Rank 1
furniture-20041031,
furniture-10041032,Doghouse Rank 2
furniture-20041032,
furniture-10041033,Doghouse Rank 3
furniture-20041033,
furniture-10042010,Office Desk
furniture-20042010,
furniture-10042011,Office Desk
furniture-20042011,
furniture-10042012,Office Desk
furniture-20042012,
furniture-10042013,Office Desk
furniture-20042013,
furniture-10042020,UAV Console
furniture-20042020,
furniture-10042021,UAV Console
furniture-20042021,
furniture-10042022,UAV Console
furniture-20042022,
furniture-10042023,UAV Console
furniture-20042023,
furniture-10042030,Operating Station
furniture-20042030,
furniture-10042031,Operating Station
furniture-20042031,
furniture-10042032,Operating Station
furniture-20042032,
furniture-10042033,Operating Station
furniture-20042033,
furniture-10042040,Computer
furniture-20042040,
furniture-10042041,Computer
furniture-20042041,
furniture-10042042,Computer
furniture-20042042,
furniture-10042043,Computer
furniture-20042043,
furniture-10042050,Data Table
furniture-20042050,
furniture-10042051,Data Table
furniture-20042051,
furniture-10042052,Data Table
furniture-20042052,
furniture-10042053,Data Table
furniture-20042053,
furniture-10042060,Printer Rank 0
furniture-20042060,
furniture-10042061,Printer Rank 1
furniture-20042061,
furniture-10042062,Printer Rank 2
furniture-20042062,
furniture-10042063,Printer Rank 3
furniture-20042063,
furniture-10040001,Rescue Station Wallpaper
furniture-20040001,
furniture-10040002,Rescue Station Floor
furniture-20040002,
furniture-10040003,Data Room Wallpaper
furniture-20040003,
furniture-10040004,Data Room Floor
furniture-20040004,
furniture-10040005,Data Room Cable 1
furniture-20040005,
furniture-10040006,Data Room Cable 2
furniture-20040006,
furniture-10040007,Data Room Lights
furniture-20040007,
furniture-10040008,Data Room Lights
furniture-20040008,
furniture-10040009,Data Room Chair
furniture-20040009,
furniture-10040010,Rescue Station Unknown 1
furniture-20040010,
furniture-10040011,Rescue Station Unknown 2
furniture-20040011,
furniture-10040012,Rescue Station Red Cross
furniture-20040012,
furniture-10040013,Rescue Station Translucent Screen
furniture-20040013,
furniture-10040101,Cat Nest - Chinese Pastoral Cat (Yellow)
furniture-20040101,Yellow Cat's Nest
furniture-10040102,Cat Nest - Chinese Pastoral Cat (Black)
furniture-20040102,Black Cat's Nest
furniture-10040103,Cat Nest - American Bobtail
furniture-20040103,Bobtail's Nest
furniture-10040104,Cat Nest - Siamese Cat
furniture-20040104,Siamese's Nest
furniture-10040105,Cat Nest - Serval
furniture-20040105,Serval's Nest
furniture-10040201,Kennel - Shiba Inu
furniture-20040201,Shiba Inu's Kennel
furniture-10040202,Kennel - Pug
furniture-20040202,Pug's Kennel
furniture-10040203,Kennel - Doberman
furniture-20040203,Doberman's Kennel
furniture-10040204,Kennel - Husky
furniture-20040204,Husky's Kennel
furniture-10040205,Kennel - Old English Sheepdog
furniture-20040205,Sheepdog's Kennel
furniture-10002701,City Studio - Changing Room
furniture-20002701,The curtains are translucent in order to prevent tactical girls from hiding inside and taking a nap. Although it is quite an invasion of privacy//c it does work pretty well.
furniture-10002702,City Studio - Roller High Stool
furniture-20002702,The leather cushion has a nice sense of quality to it//c and the heavy cast iron base lets the user feel at ease. Spinning on it at high speeds may send you flying. 
furniture-10002703,City Studio - Modern Art Photo
furniture-20002703,If this photo is real then does Squad 404 really sing at wedding ceremonies when they're not out on missions? Then let us give the newlyweds our blessings…
furniture-10002704,City Studio - Photography Studio Set
furniture-20002704,No background is more versatile than a white one as it allows you to highlight the outline of the model. The post processing technician is also very happy with this setup as he hates floors and tiles the most.
furniture-10002705,City Studio - Photography Lighting A
furniture-20002705,"Why do the people in the pictures I take with my camera's flash end up looking like ghosts?" "Because you don't have these things. A camera's built-in flash is for amateurs."
furniture-10002706,City Studio - Photography Lighting B
furniture-20002706,"Why do the people in the pictures I take with my camera's flash end up looking like ghosts?" "Because you don't have these things. A camera's built-in flash is for amateurs."
furniture-10002707,City Studio - Origami Lamp
furniture-20002707,"A paper lamp is trendy and eco-friendly//c and it gives the users a sense of involvement from folding the paper themselves. Most importantly//c we can also cut costs with these!" "Clever!"
furniture-10002708,City Studio - Fashion Rack
furniture-20002708,On it hangs many classic outfits that the girls dream of wearing. Sadly//c different body shapes means that loose clothes around the chest or tight clothes around the butt are inevitable.
furniture-10002709,City Studio - Dark Floor
furniture-20002709,A dark floor does not stain easily and does not interfere with the shooting by reflecting light off of the ground.
furniture-10002710,City Studio - Printer Set
furniture-20002710,Color management is a deeply profound area of study. Even if your screen color is very accurate//c the printers at the print shop may not be. It's best to send a physical copy over as well//c just in case.
furniture-10002711,City Studio - Post Processing Workstation
furniture-20002711,Shooting with a medium format camera and a high performance all-in-one camera together allows you examine the results in real-time. Greatly increased efficiency//c but also a completely emptied wallet.
furniture-10002712,City Studio - Industrial Walls
furniture-20002712,Even though the stars in the screens are fake//c the smiles of the girls under the spotlight are real. They might've been able to become shining stars of the highest caliber if we were in peacetime.
furniture-10002713,City Studio - Paintings Collection
furniture-20002713,To deliberately hang these paintings neatly yet disorganized is an art in and of itself. Just a little bit of carelessness may inflict sleepless nights onto the commanders that suffer from OCD.
furniture-10030801,Skorpion - Crimson Starlet
furniture-20030801,Skorpion's Poster
furniture-10030802,Springfield - Queen in Radiance
furniture-20030802,Springfield's Poster
furniture-10030803,Mosin-Nagant - Moonlit Ocean
furniture-20030803,Mosin-Nagant's Poster
furniture-10030804,WA2000 - Ballroom Interlude
furniture-20030804,WA2000's Poster
furniture-10030805,HK416 - Starry Cocoon
furniture-20030805,HK416's Poster
furniture-10030806,M1918 - Tender Nocturne
furniture-20030806,M1918's Poster
furniture-10030807,SR-3MP - Bunny Macchiato 
furniture-20030807,SR-3MP's Poster
furniture-10030808,M950A - Concert Diva!
furniture-20030808,M950A's Poster
furniture-10002801,Moonlight Ball - Python Patterned Bench
furniture-20002801,When the design itself can no longer define luxury//c people turn their attention to the materials used//c so many wild animals were made into furniture in the 19th and 20th centuries.
furniture-10002802,Moonlight Ball - Persian Rug
furniture-20002802,This magnificent handmade Persian rug is a real antique borrowed from Mr. Kruger's private collection to keep up appearances//c so try not to step on it. Hey//c hey//c P7!
furniture-10002803,Moonlight Ball - Bust Sculpture
furniture-20002803,You know this is a downright despotic enterprise when you see a sculpture of the head of the company in the corridor.
furniture-10002804,Moonlight Ball - Pipe Organ
furniture-20002804,From Bach to Mendelssohn//c the organ has always been the most dominant weapon in the composer's hands. Now//c it is equipped with an electric blower//c making it much easier to use.
furniture-10002805,Moonlight Ball - Zeppelin Airship
furniture-20002805,Even if it has long been rendered obsolete//c an airship will forever fantasize about casting its huge//c elegant shadow on the face of the earth. An airplane can never compare in this regard.
furniture-10002806,Moonlight Ball - Classical Round Table
furniture-20002806,Spread on the gorgeous table is an old sheepskin scroll that has documented the extravagant recipes of the artistocrats from the past. Perhaps we should have Springfield take a look at it.
furniture-10002807,Moonlight Ball - Marble Tiles
furniture-20002807,Heels of the crystal slippers fill the ball with the sound of crisp clinks. The marble floor reflects the girls' gorgeous figures. At least for tonight//c let the music continue.
furniture-10002808,Moonlight Ball - Crystal Chandelier
furniture-20002808,A crystal chandelier was once the product of craftsmen's years of experience and hardwork and was a symbol of wealth and status due to its high cost and difficulty in cleaning. Now they can simply be 3D printed.
furniture-10002809,Moonlight Ball - Spiral Staircase
furniture-20002809,A huge spiral staircase is essential for a grand entrance to a ball and as a temporary seating for tactical girls that are not accustomed to wearing high heels. Very practical.
furniture-10002810,Moonlight Ball - Palace Walls
furniture-20002810,Walls//c hallways//c and floor-to-ceiling windows that always appear in fairy tale castles. People like splendorous architecture so much that they started a neoclassical movement.
furniture-10002811,Moonlight Ball - Sword and Shield Decoration
furniture-20002811,"Will our guns also be hung up on a wall as a decoration someday?" "They will. Perhaps when the world achieves world peace~ or when they come up with an even more convenient way of killing people."
furniture-10030901,Lee-Enfield - Onion Shooter
furniture-20030901,Lee-Enfield's Poster
furniture-10030902,MP40 - Thumbelina
furniture-20030902,MP40's Poster
furniture-10030903,Grizzly - Transform! Teddy Bear!
furniture-20030903,Grizzly MkV's Poster
furniture-10030904,Negev - Little Drifter
furniture-20030904,Negev's Poster
furniture-10030905,MkG36 - Tiny Waitress
furniture-20030905,MkG36's Poster
furniture-10030503,Noel - μ-12
furniture-20030503,Noel's Poster
furniture-10030504,Elphelt - Magnum Wedding
furniture-20030504,Elphelt's Poster
furniture-10030505,Elphelt - T-Doll Annihilator
furniture-20030505,Elphelt's Poster
furniture-10003101,Old-School Arcade
furniture-20003101,Once known for its wild style and gorgeous graphics//c it was an arcade fighting game that brought the hype. "This is the girls' declaration of war. Prepare yourself!"
furniture-10031101,NTW-20 - Op. Blazing Sun
furniture-20031101,NTW-20's Poster
furniture-10031102,Type 95 - Summer Cicada
furniture-20031102,T95's Poster
furniture-10031103,Suomi - Midsummer Pixie
furniture-20031103,Suomi's Poster
furniture-10031104,MkG28 - Tropical Storm
furniture-20031104,MkG28's Poster
furniture-10031105,M37 - Summer Parader
furniture-20031105,M37's Poster
furniture-10031106,M1 Garand - Beach Princess
furniture-20031106,M1 Garand's Poster
furniture-10031107,Springfield - Stirring Mermaid
furniture-20031107,Springfield's Poster
furniture-10031108,WA2000 - Op. Manta Ray
furniture-20031108,WA2000's Poster
furniture-10031109,Five-seven - Cruise Queen
furniture-20031109,Five-seven's Poster
furniture-10043010,Barren Valley
furniture-20043010,The Fairies keep insisting that they are real mythical creatures//c the guardians of the forests and glens. The Commander//c who'd had enough of the AIs' endless badgering//c finally decided to build them a suitable living environment.
furniture-10043011,Mountain Fort
furniture-20043011,After some hard work//c the Commander built a medieval castle in the middle of styrofoam mountains. With this//c other facilities can also be leveled up now. (Mind the ventilation when spraying paint!)
furniture-10043012,Fairy Hall
furniture-20043012,The Fairies think that they deserve a more grandiose home that better reflects their rapidly rising status. This neoclassical white hall seems fitting.
furniture-10043013,Fairy Palace
furniture-20043013,The final form complete with white towers and an outer wall. The pleased Fairies are already chattering nonstop and demanding the addition of a peerage system. It seems like there is still a market for feudal monarchy.
furniture-10043020,Dusty Railway Model
furniture-20043020,The shape of a railway model peeks out from under the dusty cloth. This is probably the facility for us to obtain more Commands. Railway models make one feel so nostalgic...
furniture-10043021,Rural Railway Model
furniture-20043021,An ordinary rural station//c witness of the young ones' hopes and dreams that have been washed away by time. If one passes through the tunnel//c will they find the life they have once longed for?
furniture-10043022,Railway Station Model
furniture-20043022,The industrial-era train station built with iron structures has replaced the previous ordinary station. The trains filled with mail and passengers have also been replaced by freight trains carrying raw materials. This is what they call technological progress.
furniture-10043023,Royal Railway Hub Model
furniture-20043023,After several upgrades//c the Royal Railway Station Model has finally been completed. It is based on an important station in the capital of a certain pre-War empire that can only live on as a model.
furniture-10043030,Warehouse Model Foundation
furniture-20043030,We can build a warehouse model on this foundation to store the Commands shipped from HQ. Wondering how a model warehouse can store Support Commands? I'd like to know as well...
furniture-10043031,Temporary Warehouse Model
furniture-20043031,A temporary warehouse has been built//c but this structure made out of fine wires and spray-painted plastic film is extremely fragile. Please exercise caution when retrieving Commands//c Commander.
furniture-10043032,Industrial Warehouse Model
furniture-20043032,A warehouse built with red bricks and sheet metal is much more durable and can store more Commands. (This is not the story of Three Little Pigs!)
furniture-10043033,Advanced Warehouse Model
furniture-20043033,An advanced warehouse model that uses renewable energy and is environmentally friendly. The key is its geometric structural design. How else would it have won the Pritzker Architecture Prize?
furniture-10043040,Blank Weather System
furniture-20043040,Since there are hooks on the ceiling//c building a realistic weather system here will likely make the Fairies happy//c thus increasing their EXP gain. At the end of the day//c maintaining a good vibe in the dark underground is of the utmost importance.
furniture-10043041,Cloudy Weather System
furniture-20043041,A small patch of dark clouds is the beginning of everything. Don't underestimate the model-making skills that go into creating miniature clouds out of cotton//c glue//c and spray paint.
furniture-10043042,Dark Moon Weather System
furniture-20043042,As the mysterious dark moon reveals its mottled edges from behind the clouds//c the Fairies excitedly bring out their tarot cards and summoning candles. I hope they don't accidentally open a teleportation gateway to somewhere otherworldly...
furniture-10043043,Twin Moon Weather System
furniture-20043043,What's better than a Weather System with a moon? The answer is a Weather System with TWO moons! Moreover//c they're shining brightly and are much prettier than the potato-like Mars moons//c Phobos and Deimos.
furniture-10040014,Fairy Chamber Wallpaper
furniture-20040014,
furniture-10040015,Fairy Chamber Floor
furniture-20040015,
furniture-10040016,Fairy Chamber Wall Decorations
furniture-20040016,
furniture-10040017,Data Room Lights
furniture-20040017,
furniture-10040018,Fairy Chamber Carpet
furniture-20040018,
furniture-10031201,PKP - Flower and Water
furniture-20031201,PKP's Poster
furniture-10031202,Gr G36c - Ode to Summer
furniture-20031202,Gr G36c's Poster
furniture-10031203,OTs-14 - Flurry of Petals
furniture-20031203,OTs-14's Poster
furniture-10031204,KLIN - The Three Crows
furniture-20031204,KLIN's Poster
furniture-10031205,Gr MP5 - Sleepless Begonias
furniture-20031205,Gr MP5's Poster
furniture-10031301,M249 SAW - Arctic Fox
furniture-20031301,M249's Poster
furniture-10031302,9A-91 - Bullets Cafe
furniture-20031302,9A-91's Poster
furniture-10031303,Gr G3 - Battlefield Baker
furniture-20031303,Gr G3's Poster
furniture-10031304,MG3 - Urban Holiday
furniture-20031304,MG3's Poster
furniture-10031305,TAR-21 - Night at the Bar
furniture-20031305,TAR-21's Poster
furniture-10003102,FAL Memento
furniture-20003102,This precious souvenir was only granted to those who joined FAL's 3D-modeling event and the Commanders who graciously invested money to support it. "Nothing is easy in life...that's what makes it interesting//c right?"
furniture-10040019,Cafe Wallpaper
furniture-20040019,
furniture-10040020,Cafe Lights
furniture-20040020,
furniture-10040021,Cafe Floor
furniture-20040021,
furniture-10040022,Cafe Carpet
furniture-20040022,
furniture-10040023,Cafe Bar Counter
furniture-20040023,
furniture-10040024,Cafe Rack
furniture-20040024,
furniture-10040025,Cafe Wall Mount
furniture-20040025,
furniture-10040026,Cafe Floor Amplifer
furniture-20040026,
furniture-10040027,Cafe Table Left
furniture-20040027,
furniture-10040028,Cafe Table Middle
furniture-20040028,
furniture-10040029,Cafe Table Right
furniture-20040029,
furniture-10040030,Cafe Coffee Bean Container
furniture-20040030,
furniture-10040031,Cafe Chair Left
furniture-20040031,
furniture-10040032,Cafe Chair Right
furniture-20040032,
furniture-10040033,Cafe Bar Stool
furniture-20040033,
furniture-10040034,Cafe Bar Backboard
furniture-20040034,
furniture-10040035,Cafe Bar Refrigerator
furniture-20040035,
furniture-10040036,Cafe Bar Coffee Machine
furniture-20040036,
furniture-10040037,Gramophone
furniture-20040037,
furniture-10040038,Notebook
furniture-20040038,
furniture-10040039,Cafe Chair Long
furniture-20040039,
furniture-10040040,Cafe Bar Stool No Interaction
furniture-20040040,
furniture-10040041,Cafe Bar Stool Long Bench
furniture-10040042,Cafe floor
furniture-10040043,Cafe Barrier
furniture-10040044,Cafe Barrier Line
furniture-10040045,Comics Rack
furniture-10040046,Projector
furniture-20040041,
furniture-20040042,
furniture-20040043,
furniture-20040044,
furniture-20040045,
furniture-20040046,

