furniture-10000101,ハロウィン-ゴシック・ベッド
furniture-10002810,月影の舞踏会-宮殿の壁
furniture-20002810,お伽話に必ず出てくるお城のホールのように壁、回廊、掃き出し窓がいくつも連なっている。実際、新古典主義は人々が華麗なものを非常に好んだがために生まれた。
furniture-10002811,月影の舞踏会-剣と盾の壁飾り
furniture-20002811,「いつか私たちの銃も装飾品として壁に掛けられるかな？」「あり得るわね。永久の平和が訪れるか、人間がもっと手軽な殺人方法を編み出したら……」
furniture-10030901,リー・エンフィールド-ちびガンナー
furniture-20030901,リー・エンフィールドのポスター。
furniture-10030902,MP40-親指姫
furniture-20030902,MP40のポスター。
furniture-10030903,グリズリー-テディベア！
furniture-20030903,グリズリーのポスター。
furniture-10030904,ネゲヴ-幼き流離人
furniture-20030904,ネゲヴのポスター。
furniture-10030905,Gr G36-ちびっ子メイド
furniture-20030905,Gr G36のポスター。
furniture-10002901,童心園-カラフルスターフロア
furniture-20002901,「そう、ここはお空。小さな精霊の集落が天井にあって、彼女たちは私を必要としているの。」
furniture-10002902,童心園-パズルラグ
furniture-20002902,「前回勝ったのは誰だ？……待て、この前の私の役割はフライングチェスだったか、それとも大富豪か？」
furniture-10002903,童心園-子供の本棚
furniture-20002903,「大きくなるのは君の旅路、そして、君の宝物でもある。」
furniture-10002904,童心園-おもちゃの機関車
furniture-20002904,「ポッポー！どこへ行く？地図にない場所にしか行けないよ！」
furniture-10002905,童心園-おもちゃの貨車
furniture-20002905,「もうすぐ駅に着くのよね？私たちのもとから去るんでしょ？きっと会いに来てくれるわよね、そうでしょ？」
furniture-10002906,童心園-積み木の乗ったテーブル
furniture-20002906,「やあ、いらっしゃい！ここにはお城、高いビル、各種の怪物、それと君の童心があるよ。」
furniture-10002907,童心園-クマさんのチェア
furniture-20002907,「中にはお菓子が詰まってるんだ……シーッ、君にだけ教えてあげる。秘密のポケットの在り処を。」
furniture-10002908,童心園-ユニコーン・エアソファ
furniture-20002908,「本当に私たちであの敵を倒しに行くんですか、騎士のお姉さん？まず彼らと話し合ってみたらどうだろう？」
furniture-10002909,童心園-自動車型ソファ
furniture-20002909,「ごめんね、満員なんだ。誰か降りる人がいれば……ちょっと、蹴らないで！」
furniture-10002910,童心園-海賊船二段ベッド
furniture-20002910,「この酔っ払った小さな船乗りをどうしよう？……布団でぐるぐる巻きにしておけば、おとなしく寝るか！」
furniture-10002911,童心園-花柄の壁紙
furniture-20002911,「約束よ、いつかここが賞状や認定書でいっぱいになっても、私たちを、そして自分を忘れないでね。」
furniture-10002912,童心園-ちょうちょライト
furniture-20002912,「だから飛ぼう！君の夢がまだしなやかで明るいうちに、未来のお城へ向かって飛び立つんだ！」
furniture-10002913,童心園-惑星の窓
furniture-20002913,「宇宙がどれだけ広くても、君と私たちは永遠にその中の一部なんだ。」
furniture-10003001,キャンデイタウン-お日様風船ガムフロア
furniture-20003001,歩く人が増えすぎると泡になって空へ飛んでいってしまうため、いつも何層にも舗装されている。もちろん利用客数もチェック。
furniture-10003002,キャンデイタウン-クリームビスケットロード
furniture-20003002,細長いポッキーたちには彼らなりの深い考えがあり、好き勝手に暴れる自家用車はすべて車輪を空回りさせている。
furniture-10003003,キャンデイタウン-ウエハース製の標識
furniture-20003003,表面の雕刻にはチャレンジに満ちた工夫が凝らされている。たくさんの人がウエハースをうっかり割ってしまったり、巧妙に食べてしまったりするからだ。
furniture-10003004,キャンデイタウン-キャンディ王国兵士
furniture-20003004,キャンディ王国とデザート王国はいつもクリームを奪い合って戦争している。負けた国はその月は粉ミルクで塗料を作る羽目になるからだ。
furniture-10003005,キャンデイタウン-デザート王国兵士
furniture-20003005,両国の戦争はいつも、兵士が自分の武器を食べてしまって続行不能になり、最後には蜂蜜の飲み比べで勝敗を決めている。
furniture-10003006,キャンデイタウン-アイスクリームの街灯
furniture-20003006,非常に溶けやすいため、夜にしか使えない……え？人間の街灯もこの原理じゃないの？
furniture-10003007,キャンデイタウン-スムージースタンド
furniture-20003007,キャンデイで出来ている街でキャンデイが売れる？じゃあ、人と動物が楽しく暮らせる世界に動物園があると思う？
furniture-10003008,キャンデイタウン-抹茶チョコスポーツカー
furniture-20003008,こんな本物そっくりのスポーツカーを手に入れるなんて、どんなに大変だろう！人間の世界の抹茶の技術はもう失われてしまったのに！
furniture-10003009,キャンデイタウン-チョコシューベンチ
furniture-20003009,とても快適だけど、ここで長々と寝るのはやめたほうがいい。夢に温かいものが出てくると溶けちゃうから。
furniture-10003010,キャンデイタウン-猫ケーキバス
furniture-20003010,自分がどんなスイーツを好きか分からない？図書館に連れて行ってあげるから調べてみなよ！あなた単なるゲストじゃないみたいだし！
furniture-10003011,キャンデイタウン-キャンデイタウンの遠景
furniture-20003011,毎年の年末、キャンデイタウンの市民は、その年に最も成功した施設を投票で選んで撤去し、その後サンタの袋を導入して子供たちに分けている。
furniture-10003012,キャンデイタウン-スイーツ・ボトルシップ
furniture-20003012,この便でお帰りですか？またのお越しをお待ちしております！いいですか、目覚めてしまったとしても、あなたは永遠にキャンデイタウンの一員ですぞ！
furniture-10030503,ノエル＝ヴァーミリオン-μ-12
furniture-20030503,ノエル＝ヴァーミリオンのポスター。
furniture-10030504,エルフェルト=ヴァレンタイン-マグナムウェディング
furniture-20030504,エルフェルト=ヴァレンタインのポスター。
furniture-10030505,エルフェルト=ヴァレンタイン-アナイアレイター
furniture-20030505,エルフェルト=ヴァレンタインのポスター。
furniture-10003101,昔のアーケードゲーム
furniture-20003101,その荒々しいスタイルと華麗なシステムで名高い、かつて人間たちの間で絶大な人気を誇ったアーケードの格ゲー。「これは少女からの宣戦布告よ、覚悟なさい！」
furniture-10031101,NTW-20-炎天下の任務
furniture-20031101,NTW-20のポスター。
furniture-10031102,95式-夏の蝉の声
furniture-20031102,95式のポスター。
furniture-10031103,スオミ-仲夏のエルフ
furniture-20031103,スオミのポスター。
furniture-10031104,Gr G28-トロピカルストーム
furniture-20031104,Gr G28のポスター。
furniture-10031105,M37-盛夏の巡礼者
furniture-20031105,M37のポスター。
furniture-10031106,M1 ガーランド-ビーチプリンセス
furniture-20031106,M1 ガーランドのポスター。
furniture-10031107,スプリングフィールド-目覚めたマーメイド
furniture-20031107,スプリングフィールドのポスター。
furniture-10031108,WA2000-熱帯魚のいたずら
furniture-20031108,WA2000のポスター。
furniture-10031109,Five-seven-クルーズ・クイーン
furniture-20031109,Five-sevenのポスター。
furniture-10003201,海辺のコテージ-更衣室のタイル
furniture-20003201,石製の床は洗い流しこそしやすいものの、掃除となるとなかなかに面倒。ロボットに模様と埃の違いを説明するのは容易くないのだ。
furniture-10003202,海辺のコテージ-ビーチラグ
furniture-20003202,波が潮風に吹かれて真っ直ぐになったんです……と、草稿を提出する際にデザイナーさんは言っていた。
furniture-10003203,海辺のコテージ-サーフボードラック
furniture-20003203,かっこいい波乗りは自分だけが楽しいけど、かっこ悪い波乗りはみんなが楽しめる。
furniture-10003204,海辺のコテージ-フードカウンター
furniture-20003204,甘いデザートはいかが？辛いダイエット期間はもう終わったんだ。今こそ自らの運命に復讐する時だよ！
furniture-10003205,海辺のコテージ-ラウンジテーブル
furniture-20003205,美味しそうな飲み物やケーキばかりに夢中で、その幸せを支えているテーブルには見向きもしない。万物には存在意義があるというのに！
furniture-10003206,海辺のコテージ-ボトルラック
furniture-20003206,飲酒は適度に。あとはトランプとインドアな仲間も添えて、遊び方とジョークのセンスも適度にね。
furniture-10003207,海辺のコテージ-サービスワゴン
furniture-20003207,波の音を聞きながらエタノールや二酸化炭素を摂取するのもまた、人生の楽しみの一つさ。自由というのは、そうやって数時間の間自分が自分じゃなくなる感覚のことだ。
furniture-10003208,海辺のコテージ-ラウンジの更衣室
furniture-20003208,他人との不必要な衝突を避けるため、自分の番号はちゃんと覚えといてね。それと、ドアを閉めてからもう一回両手で強くたたくのはやめてね。
furniture-10003209,海辺のコテージ-ロッカールーム
furniture-20003209,ここでは撮影や録画、人の水着を盗むこともすべて禁止されています……はい、人形もダメです。前例があるので、絶対にダメです。
furniture-10003210,海辺のコテージ-グリーンソファ
furniture-20003210,次の使用者は、水着に付着した海水や砂粒をきれいに取り除いてから座ってね。はぁ、ソファが塩漬けになっちゃうよ……
furniture-10003211,海辺のコテージ-レッドソファ
furniture-20003211,革のソファは湿気に弱いので、座る前は身体をよく拭いて、衣類を纏った状態で座ってね。
furniture-10003212,海辺のコテージ-更衣室ベンチ
furniture-20003212,寝る用途以外なら、自由に使って構わないよ。まあ、ルールは破るためにあるんだけどね！
furniture-10003213,海辺のコテージ-ラウンジの壁紙
furniture-20003213,この部屋には豪華な壁紙を貼りましょうか、それとも高級なシャンデリアをつけましょうか？やはりお金は悩みの種ですね。
furniture-10003214,海辺のコテージ-ラウンジのシャンデリア
furniture-20003214,ラウンジに飾るには無駄に豪華すぎる？じゃあ壁紙も相応のものに張り替えちゃうか！……なんて、一度は言ってみたかった。
furniture-10003215,海辺のコテージ-シーカヤック
furniture-20003215,漕いで移動するには強風や高波、同期率の低い仲間たちなど、多くの困難を克服しなければならない。
furniture-10003216,海辺のコテージ-海景の窓
furniture-20003216,楽しかった休暇ももうすぐ終わり。しかし、あなたは窓外のすべてから遠ざかることはなかった。なぜなら、人間は大自然の観光客ではないから。
furniture-10003301,眩いビーチ-ビーチフロア
furniture-20003301,砂漠と砂浜に対して、人間は真逆の感情を抱く。こんな面倒くさい種族の面倒を見ないといけないなんて、造物主も大変ね。
furniture-10003302,眩いビーチ-ビーチマット
furniture-20003302,夏の香りが漂うマット。すなわち日の光、潮風、アイスクリーム、そして日焼け止めの香りが漂うマット。
furniture-10003303,眩いビーチ-ビーチパラソル
furniture-20003303,誰かがいたずらを仕掛けているかもしれないから、使う前にまず確認して――ハハッ！引っかかったね！
furniture-10003304,眩いビーチ-砂の城
furniture-20003304,悲劇というのは、価値あるものを潰してみせること……なに？みんな笑ってる？突き詰めた喜劇は悲劇だもんね！
furniture-10003305,眩いビーチ-冷えた軽食セット
furniture-20003305,普段のおやつとの大きな違いは、口にする前に、まず顔に当てること。
furniture-10003306,眩いビーチ-人工海浜
furniture-20003306,人間にとって、これはどこまでが安全なのか教えてくれる境界線を示している。こうしないと、この世で最後のサメやイルカの群れは守れない。
furniture-10003307,眩いビーチ-ウミガメ船長
furniture-20003307,面白がって帽子をかぶせてるわけじゃないの。これ以上ひっくり返らないための重りなのよ。もう10回目なんだから、10回目！
furniture-10003308,眩いビーチ-デッキチェア（左）
furniture-20003308,淑女は海辺での休暇の過ごし方を知っている。が、バカにとってはチャンバラごっこをする場所が変わっただけだ。
furniture-10003309,眩いビーチ-デッキチェア（右）
furniture-20003309,淑女は海辺での休暇の過ごし方を知っている。が、バカにとってはチャンバラごっこをする場所が変わっただけだ。
furniture-10003310,眩いビーチ-海賊船
furniture-20003310,この沈没船は世界一の仮眠スポットを得るためには、人々が宝や友情、自由を犠牲にするのも仕方ないことを示している。
furniture-10003311,眩いビーチ-砂風呂
furniture-20003311,楽しいひと時を過ごしてもらうためにやってくれてると思った？バカね！ただ埋めるだけ埋めて、顔に落書きしたいだけに決まってるじゃない！
furniture-10003312,眩いビーチ-海原の遠景
furniture-20003312,もっと遠くの海を見に行ってみたいのは分かってる。けど、あれは君の家じゃないから……誰のものかって？……聞かないほうがいいわ。
furniture-10003313,眩いビーチ-謎の島
furniture-20003313,すべてを投げ打ってでも探す価値のあるぼろい箱が、あそこにあると信じる？それとも「友情が最大の宝」と言って自分を納得させる？
furniture-10003314,眩いビーチ-セーリングボート
furniture-20003314,こんなおもちゃの船では岸辺を漂うことしかできないわ。もっと遠くに行きたければ泳ぐしかないの。あんたたちは戦術人形でしょ、忘れたの？
furniture-10003315,眩いビーチ-空に浮かぶ熱気球
furniture-20003315,目に映る世界が広がるほど、家に帰りたくなる……生きることは甘くない。しかし、だからこそ面白い。そうでしょ？
furniture-10043010,荒れた谷
furniture-20043010,妖精はいつも、自分たちは幻の生物で、森や幽谷の守護者なのだと言い張る。そして、AIたちがぺちゃくちゃしゃべり続けるのに耐えられなくなった指揮官が言った。「彼女たちに相応しい生活空間を用意しろ」。
furniture-10043011,山間要塞
furniture-20043011,苦労の末、指揮官が発泡スチロール製の谷間に中世の砦を建設。こうして一連の設備もレベルアップが可能になった。（ラッカー塗装の際には、換気に注意してください）
furniture-10043012,妖精ホール
furniture-20043012,妖精は自分たちの地位は常に上がっていくものと認識しており、自分たちの身分に相応しい華麗な住まいを用意しろと要求。この新古典主義の特色を備えた白いホールはそれにぴったり。
furniture-10043013,妖精神殿
furniture-20043013,白い尖塔と城壁が追加された最終形態。付属施設もすべて開放されて喜んでいた妖精たちは、今度は爵位の追加を取り沙汰している。封建君主制はまだまだなくならないようだ。
furniture-10043020,埃を被った鉄道模型
furniture-20043020,埃を被った帆布の下に鉄道模型のプラットホームが隠れていた。これはまだ完成途中なのだろう。鉄道模型とはずいぶん懐かしい。
furniture-10043021,田舎の鉄道模型
furniture-20043021,何の変哲もない田舎の小さな駅。少年少女たちの、時の流れに淘汰された小さなこだわりが詰まっているかもしれない。トンネルを抜けると、あのころ望んでいた人生が見つかるかな？
furniture-10043022,鉄道駅の模型
furniture-20043022,産業時代の鉄を多用した駅が、昔の素朴なプラットホームに取って代わり、手紙や乗客を乗せていた列車も、しだいに原材料を積んだ貨物列車へと変わっていく。これが発展というものだ。
furniture-10043023,国王鉄道ターミナルの模型
furniture-20043023,数回のレベルアップを経て、やっと国王鉄道駅の模型が完成。モデルは戦前の某帝国の首都にあった駅だ。あの繁栄も今や模型の中にしか見い出せない。
furniture-10043030,倉庫模型の基礎
furniture-20043030,ここをベースにして作った倉庫模型。本部からの指令を保存するのに使用できる。なぜ模型にそんなことができるのかって？それは私も知りたいところだ。
furniture-10043031,臨時倉庫の模型
furniture-20043031,臨時の倉庫が完成。ただし、細い針金とラッカー塗装したビニール製でとても脆いので、指令の出し入れをする際には注意してくださいね、指揮官。
furniture-10043032,産業倉庫の模型
furniture-20043032,倉庫が赤レンガとトタン屋根になってだいぶ丈夫になり、より多くの指令の収納が可能になりました。（三匹の子豚のお話ではありません）
furniture-10043033,高度な倉庫の模型
furniture-20043033,環境に優しく、再生可能エネルギーを使用する高度な倉庫の模型。一番の注目点はクールな幾何学的設計だ。そうでなければ建築家のノーベル賞とも言われるプリツカー賞を受賞するわけがない。
furniture-10043040,真っ白な天気システム
furniture-20043040,天井のフックに本物そっくりの天気図を掛けたら妖精が大喜び。その上、経験値入手速度もアップ。薄暗い地下では、いい気分を保つのが何よりも大事。
furniture-10043041,黒雲の天気システム
furniture-20043041,小さな黒雲はすべての始まり。バカにしてはいけない。綿、液体のり、ラッカー塗料で黒い雲を作るのは、模型界では高度な技だ。
furniture-10043042,暗月の天気システム
furniture-20043042,神秘的なダークムーンが黒雲の向こうからうっすらとその片鱗を覗かせると、妖精たちは嬉々としてタロットカードと召喚ロウソクを取り出す。彼女たちが変な騒ぎを起こしませんように……
furniture-10043043,双月の天気システム
furniture-20043043,月だけの天気図よりいいものは？答えは月2つの天気図！しかもキラキラと光り、ジャガイモのようなフォボスやダイモスよりもずっと綺麗な月。
furniture-10040014,妖精ハウス壁紙
furniture-20040014,
furniture-10040015,妖精ハウスフロア
furniture-20040015,
furniture-10040016,妖精ハウス壁面装飾
furniture-20040016,
furniture-10040017,データルーム蛍光灯
furniture-20040017,
furniture-10040018,妖精ハウス-カーペット
furniture-20040018,
furniture-10031201,PKP-花と水
furniture-20031201,PKPのポスター。
furniture-10031202,Gr G36式コンパクト-夏・花火・朝顔
furniture-20031202,Gr G36式コンパクトのポスター。
furniture-10031203,OTs-14-桜吹雪
furniture-20031203,OTs-14のポスター。
furniture-10031204,KLIN-三羽烏
furniture-20031204,KLINのポスター。
furniture-10031205,Gr MP5-花は眠らない
furniture-20031205,Gr MP5のポスター。
furniture-10003401,ソウルへ-ヴィンテージウッドフロア
furniture-20003401,クラシカルな味のあるフロア。「俺は今忘れられた汽車の駅に立ち、心と魂を鞄に入れ、ただ俺だけが乗れる汽車を待つ。」
furniture-10003402,ソウルへ-デザインカーペット
furniture-20003402,緻密で手触り良く織られたチェックのカーペット。「LからO、そしてV、E、あなたは私の人生の意義。」
furniture-10003403,ソウルへ-記念のスノードーム
furniture-20003403,中にソウルの建物を再現しているスノードーム。「白い雪が喜びになる。白い雪が笑顔になる。」
furniture-10003404,ソウルへ-観葉植物
furniture-20003404,人の心を落ち着かせる観葉植物。「みんな一緒に手をつなごう！そして空を見よう！僕達が一緒に作る世界を空に描いてみよう！」
furniture-10003405,ソウルへ-ディスプレイシェルフ
furniture-20003405,きちんと整頓された記念品ラック。「一か月に服を一着買わなければ、ここにはヤギが５頭。地球の反対側にいる子たちに、プレゼントしよう！」
furniture-10003406,ソウルへ-ガラスのティーテーブル
furniture-20003406,気分転換用の自分だけのテーブル。「芳しい赤ワインとケーキ、疲れきった1日、ふっと孤独が心をよぎる。」
furniture-10003407,ソウルへ-トールフロアランプ
furniture-20003407,使いやすいフロアランプ。「目を閉じて君を描くよ。心の中に君を探したんだ。僕を明るくしてくれる、光が見える。」
furniture-10003408,ソウルへ-望遠鏡
furniture-20003408,天文愛好者に人気の望遠鏡。「夜空を渡る小舟には、うさぎが一羽、木が一本。」
furniture-10003409,ソウルへ-ある日の食卓
furniture-20003409,韓国で伝統的な足の短いテーブル。「アリランよアリラン、夫は道に障害があり先は長いと言う。今宵別れれば日夜想うだろう。誓いの言葉を胸に夫の留守を守る。」
furniture-10003410,ソウルへ-曲面ディスプレイテレビ
furniture-20003410,かつては新興技術の代表だった曲面ディスプレイ。「俺は世界を自ら作るさ。同じような人生を強要するな。」
furniture-10003411,ソウルへ-リビングソファ
furniture-20003411,ことのほか温かさを感じさせる二人掛けソファ。「you never say good bye しばらくぼんやり ぼけっと座って」
furniture-10003412,ソウルへ-韓国式クッション
furniture-20003412,韓国で伝統的なクッション。「3頭の小さな熊の家族。お父さん熊、お母さん熊、そして子供の熊。みんなグングン大きくな～れ！」
furniture-10003413,ソウルへ-アンティークな壁紙
furniture-20003413,落ち着いた味のある壁紙。「風は廃墟を通り抜け、私たちが失くした記憶に泣いて訴える。抱擁すなわち別離であることに、あなたが早くなれますようにと。」
furniture-10003414,ソウルへ-お洒落なガラスライト
furniture-20003414,キラキラと透きとおったガラスの照明。「あなたの微笑みは四角い地球のように美しく感動的。水晶が瞬いているようだ。」
furniture-10003415,ソウルへ-掃き出し窓
furniture-20003415,夜景が楽しめる掃き出し窓。「Do I can make it through and you//nIt shall a make it all night long//nI can feel that all night long tonight」
furniture-10003501,温泉街-ほのぼの石畳
furniture-20003501,石製のフロア。「道無きぞ、この旅だけど。でも、こんなに上手に歩いてる。」
furniture-10003502,温泉街-温泉標識
furniture-20003502,温泉の場所を示す標識。「いとしき日々は過ぎて、懐かしい郷に馳せる想い。遠く近く肌を撫ぜるたゆとう淡い導き。」
furniture-10003503,温泉街-提灯飾り
furniture-20003503,お祭りのときに掛ける飾り。「色づく鬼灯に、賑夏祭り。鳴り響く風鈴の音に、胸の奥が揺れる。」
furniture-10003504,温泉街-ラーメン屋台
furniture-20003504,道端で営業しているラーメンの屋台。「家族と眺めながら、飲む酒はどんな味。眠りにつく前の唄は誰の唄。」
furniture-10003505,温泉街-団子売り
furniture-20003505,道端で営業している団子屋の屋台。「うさぎもそらで手をふってみてる。でっかいおつきさま、うれしいこと、悲しいことも、全部まるめて！」
furniture-10003506,温泉街-お地蔵様
furniture-20003506,道端に鎮座しているお地蔵様。「神仏の加護受けて、苦楽を分かち合う。隣人の喜び、素直に喜ぶ人間であれ。」
furniture-10003507,温泉街-温泉ウッドフェンス
furniture-20003507,温泉を囲う木製のフェンス。「あかるいあかるい星の空、なきなきよがもの渡る夜は、ああ、とうさんのあのえがお、栗の実。」
furniture-10003508,温泉街-露天風呂
furniture-20003508,手掘りの温泉。「今日の泊まりは、いで湯の宿か。白い湯舟に、染まる肌。可愛い踊子、お座敷めぐり。」
furniture-10003509,温泉街-脱衣所のベンチ
furniture-20003509,着替えや休憩時などに使えるベンチ。「君の髪の香りはじけた。浴衣姿がまぶしすぎて。」
furniture-10003510,温泉街-温泉の脱衣所
furniture-20003510,入湯前後に着替える小屋。「星空をひらりふわり、雲に隠れた月の夜、なんとなく迷い込んだ、埃まみれの小さな部屋。」
furniture-10003511,温泉街-蛍舞う竹林
furniture-20003511,ホタルが趣を添えている竹林。「夏の祈り、夏の祈りは、妙なる蛍火の調べ。風が揺らした、風鈴の響き。」
furniture-10003512,温泉街-鯉のぼり
furniture-20003512,子供たちの健やかな成長を祈る飾り物。「守りもいやがる。盆から先にゃ、雪もちらつくし、子も泣く。」
furniture-10003513,温泉街-温泉の竹鉢
furniture-20003513,人の手で植えられた優雅な竹林。「指さした先の上枝に明かり、頬を撫でる。ささめく、きらら。」
furniture-10003514,温泉街-温泉の樽風呂
furniture-20003514,伝統的な木製の湯舟。「日々偲ぶ老いの囲炉裏端、仲睦まじく充ちて。」
furniture-10031301,FF M249SAW-北極ギツネ
furniture-20031301,FF M249SAWのポスター。
furniture-10031302,9A-91-弾丸カフェ
furniture-20031302,9A-91のポスター。
furniture-10031303,Gr G3-戦地パティシエ
furniture-20031303,Gr G3のポスター。
furniture-10031304,MG3-休日の街角
furniture-20031304,MG3のポスター。
furniture-10031305,TAR-21-夜更けのバー
furniture-20031305,TAR-21のポスター。
furniture-10003102,FAL武器記念品
furniture-20003102,この貴重な記念品はFALの立体モデルイベント参加者に授予されたもの。これに気前よく投資した指揮官の言。「生きていくのは大変だ……でも、だからこそ面白い、そうだろ？」
furniture-10003701,大図書館-クラシックフロア
furniture-20003701,「読書家だからと言って、必ずしも知識があるとは限らない。本当の常識とは知識を得たうえで思考を重ね、仕事ができることだ」//n「なによ、読書なんて働きたくないからするものでしょ……疲れた、ちょっと休も……」――FF M249SAW
furniture-10003702,大図書館-クラシッカラグ
furniture-20003702,「私は本に飛びつく。飢えた者がパンに飛びつくように。」//n「確かに、その感覚は私にも分かる。でも、私はもっとすごいよ！だって、飢えてなくたって飛びかかるもん！こうやって！ドンッ！」――FF FNC
furniture-10003703,大図書館-階段付き書架
furniture-20003703,「本は魂にとっての最高の麻酔薬だぜ。」――AK-47より//n「本の中の毒素だけを取り込む人もいるそうですね。」――スオミより
furniture-10003704,大図書館-豪華な書棚
furniture-20003704,「本を読まない人は、思考が停止するそうよ。」――MP-446//n「1日中漫画ばかり読んでいる人は、とっくに思考が停止しているのね。」――モシン・ナガン
furniture-10003705,大図書館-書見台
furniture-20003705,「本は武器ではなく、夢である。言葉で殺戮を行うことも、惑わすことも可能だ。」//n「あたしはここからある大事なことを学んだよ。口喧嘩するより殴った方が早いとね。」――97式ショット//n「M99。次の朗読会では、もう少しマシな人形を呼んでくださいね。」――Z-62
furniture-10003706,大図書館-クラシックデスク
furniture-20003706,「学問は人類に最大の緊張と情熱を求める。」//n「学問より鉄血だと思うけど。」――Am KSG//n「どう考えてもゲームでしょ！」――Am RFB
furniture-10003707,大図書館-スタンドランプ
furniture-20003707,「本は先が長く暗い人生の道を照らしてくれる、魔法のランプと言えよう。」//n「そうそう！タブレットに本を移したら、白い紙面が夜の照明としてぴったりだったの！」――コルトSAA
furniture-10003708,大図書館-アンティークテーブル
furniture-20003708,「野蛮な国を除けば、世界は本によって支配されている。」//n「ふ～ん。じゃあ本が支配できるものって少ないんだね。特に今は。」――ネゲヴ
furniture-10003709,大図書館-可動式階段
furniture-20003709,「本は人類進化の階段である。」//n「階段がどこへ向かってるかは誰にも分からない……でも、それももうじき判明するかもね」――Vector
furniture-10003710,大図書館-クラシックカウチ
furniture-20003710,「読書と心の関係は、//c運動と身体の関係と同じである。」//n「どうせ有害なものばかりです。心身の健康に良いのはソファだけですよ。」――FF F2000
furniture-10003711,大図書館-クラシックチェア(右)
furniture-20003711,「知識は力なり。」――Fr FAMAS//n「力こそ正義ですよ！」――Bren Ten//n「勝者すなわち正義だ！」――SVD//n「可愛さこそが正義だよね！」――Gr G28//n「あなたたち、出てってもらえます？」――P99
furniture-10003712,大図書館-クラシックチェア(左)
furniture-20003712,「知識は力なり。」――Fr FAMAS//n「力こそ正義ですよ！」――Bren Ten//n「勝者すなわち正義だ！」――SVD//n「可愛さこそが正義だよね！」――Gr G28//n「あなたたち、出てってもらえます？」――P99
furniture-10003713,大図書館-壁面書架
furniture-20003713,「本は魂を育む道具だ。」//n「わたしたちには魂がないのに、読書する必要なんてあるのかしら？」――64式//n「うんうん、人は食によって決まるの。」――56-1式
furniture-10003714,大図書館-アンティークな暖炉
furniture-20003714,「教育！科学！本が読めることは、すなわちたいまつに火を灯すこと！すべての文字と、それぞれの音節を集めて火星へ打ち上げよう！」//n「火星？火星人に支援を要請するのですか？みんなをお腹いっぱい食べさせてくれるのですか？」――OTs-44//n「昔の映画を見るに、火星人は往々として状況を悪化させるだけだ……」――OTs-14
furniture-10003715,大図書館-クラシックシャンデリア
furniture-20003715,「本は世のあらゆる知恵が詰まった常夜灯である。」//n「ハハッ、この百年余りの戦争を見るに、この言葉が指してるのは明らかに自滅へ導く知恵ですよねぇ。」――イングラム
furniture-10003716,大図書館-支配者の肖像画
furniture-20003716,「本は人知の大統領だ。」//n「シェークスピアの言葉だそうですが、彼の時代に大統領はいなかったですよね……もし人間が常に正しいんだとすれば、これは読書をすれば時空を越えられるという根拠になり得ますね。」――ステンMK-II
furniture-10003801,深夜食堂-クッキングフロア
furniture-20003801,リー・エンフィールド：キッチンでスケーティングしないでください。特に私がバターを作っているときは……静かに、気をつけ！IDW、私の仕事が片付いたら、戦場の掃除をお願いします。
furniture-10003802,深夜食堂-キッチンラグ
furniture-20003802,Gr G36：ソーセージの材料はだいたい準備できましたね。ほかに足りないものはありますか？//nGr G36c：もう少し香料を足してみては如何でしょう。例えば……パセリとか？//nGr G36：良いですね♪手伝ってください。
furniture-10003803,深夜食堂-巨大ローストチキン
furniture-20003803,コルトSAA：あはははは！Mr.ビーン見たけど、あんたたちって、ああやって七面鳥を食べるのね！//nブレン：そうだ。お前らと違って、毎年七面鳥を食べながら、粛清から生き延びれたことに感謝しているのだ。
furniture-10003804,深夜食堂-キッチンセット
furniture-20003804,AR70：火加減はどうしましょ？//nS.A.T.8：Al dente！//nAR70：ん？なんですか？//nS.A.T.8：あら、伝統を受け継ぐことこそ、イタリア料理の真髄なのよ。料理用語もちゃんとメンタルモデルに記録しておいてね。//nM38：それって……別に料理用語じゃないですよね……
furniture-10003805,深夜食堂-シンク
furniture-20003805,八一式馬：T91、意外です。お皿洗うの速いのですね。//nT91：ドリンクスタンドでアルバイトしていたことがあるんです。にしても、あなたも十分速いじゃないですか。どうして？//n八一式馬：えーと、列車の勤務で……あの「ピーナッツ、ビール、ソーセージはいかがでしょうか。すみません、足引っ込めてください！」ってやつで……
furniture-10003806,深夜食堂-キッチンカウンター
furniture-20003806,Fr FAMAS：AAT-52、このパンは過度に膨らませる必要はないですから、切り込みは必要ないですよ。//nAAT-52：膨らませる？切り込みって楽しいからやるものじゃなかったんだ！
furniture-10003807,深夜食堂-業務用冷蔵庫
furniture-20003807,ウェルロッド MkⅡ：もう二度と夜中には開けません！ブレンが作ったサーディンパイは恨めしそうに私を見つめていましたし、リべロールが入れたヤツメウナギなんか……生きてましたよ！
furniture-10003808,深夜食堂-業務用洗濯機
furniture-20003808,P7：チャオ！そこの可愛いお姉さん！赤ワインとパンでもいかが？もっとグラマーになれますよ。//nSPAS-12：え？そんなのコーラとハンバーガーで十分だよ。//nARX-160：（溜め息）そう、じゃあ試してみようかな……//nP7：一口で食べちゃってね……掃除が面倒くさいから（小声）。
furniture-10003809,深夜食堂-キッチンスツール(左)
